x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
0,0,0,0,0.0,0.0,0.000482,0.013173,0.72026,0.0,3.30763,0.271481,39.503424,0.0,9
3,3,13,7,0.0,0.0,0.001354,0.002839,0.627357,0.0,2.071779,0.232223,56.26799,0.0,13
5,26,75,53,2.686586,0.084775,0.010248,0.006969,0.615161,0.0,0.380275,0.197624,32.888313,0.0,24
0,0,1,0,0.0,0.0,0.004604,0.000391,0.768548,0.00737,1.649851,0.352971,29.35513,0.0,2
1,12,31,34,0.0,0.0,0.002239,0.003194,0.502511,0.0,8.934644,0.135683,46.038498,0.0,8
5,3,31,34,0.0,0.0,0.00781,0.007212,0.583488,0.0,6.888015,0.171543,32.116725,0.0,7
18,35,86,110,5.870978,0.396368,0.018412,0.003806,0.185773,0.0,0.330193,0.221078,10.809478,0.0,9
0,1,0,1,0.0,0.0,0.002419,0.000782,0.804886,0.0,8.281762,0.287839,33.282589,0.0,4
1,5,14,8,0.0,0.0,0.003138,0.000516,0.658519,0.0,4.094625,0.329135,23.683646,0.0,0
3,1,1,0,0.0,0.0,0.007211,0.004753,0.386423,0.0,6.270168,0.320392,30.828758,0.0,1
2,1,4,2,0.0,0.0,0.004755,0.0,0.935855,0.0,3.684034,0.232288,16.403627,0.0,2
6,55,69,73,2.706467,0.12098,0.013233,0.011552,0.326729,0.175896,2.532491,0.150825,21.539734,0.0,4
0,0,0,0,0.0,0.0,0.0,0.0,0.978646,0.0,4.433839,0.679273,26.387093,0.0,0
61,125,143,278,6.3496,0.277288,0.015238,0.003907,0.249129,0.001053,0.244094,0.249616,6.750857,1.0,41
0,0,3,1,0.0,0.0,0.00117,0.001893,0.616471,0.006315,12.307952,0.437901,53.264718,0.0,0
0,3,0,2,0.0,0.0,0.005992,0.005992,0.562414,0.0,6.515002,0.053477,55.451779,0.0,4
0,1,1,0,0.0,0.0,0.001841,0.004606,0.706243,0.053716,7.186173,0.770324,23.561437,0.0,0
0,0,1,0,0.0,0.0,0.004139,0.00129,0.549689,0.002839,9.242145,0.792694,40.865987,0.0,0
8,5,153,92,1.466253,0.075434,0.011198,0.002309,0.323401,0.014575,10.514411,0.136448,36.429679,0.0,2
61,96,151,120,10.949931,0.350416,0.010135,0.009652,0.301112,0.0,0.492343,0.249911,3.038474,0.0,15
0,1,0,0,0.0,0.0,0.003676,0.002925,0.849394,0.002106,11.448448,0.427831,39.517321,0.0,0
0,2,0,0,0.0,0.0,0.0,0.003511,0.920363,0.007367,13.820927,0.567469,58.312412,0.0,0
14,8,33,44,1.984844,0.17772,0.002708,0.005457,0.591358,0.003159,2.503377,0.180159,7.576535,0.0,28
0,0,1,0,0.0,0.0,0.001295,0.003344,0.434599,0.133731,11.525461,1.017754,41.376116,0.0,0
0,0,0,0,0.0,0.0,0.003539,0.003539,0.894165,0.0,7.257029,1.583438,35.423,0.0,0
5,41,301,6,5.2735,0.240946,0.005659,0.003352,0.173558,0.409088,0.690926,0.23918,9.929499,0.0,2
0,1,0,0,0.0,0.0,0.001011,0.0,0.689949,0.0,6.312967,0.889036,31.906195,0.0,0
1,1,0,0,0.0,0.0,0.0,0.0,0.171543,0.076865,2.822122,0.723179,44.869641,0.0,0
45,29,203,230,5.605105,0.296677,0.009924,0.004367,0.414872,0.0,2.101897,0.029665,6.303901,0.0,44
0,4,0,0,0.0,0.0,0.006016,0.0,0.452282,0.089875,7.218828,1.026189,32.779343,0.0,0
0,0,0,0,0.0,0.0,0.0,0.002048,0.9502,0.006317,2.759464,1.018137,59.063811,0.0,0
0,1,3,2,0.0,0.0,0.006817,0.002732,0.872098,0.0,8.756134,0.430635,41.066231,0.0,0
0,1,3,3,0.0,0.0,0.003532,0.003532,0.64949,0.022111,2.864399,0.278914,36.192419,0.0,2
0,29,39,61,0.0,0.0,0.00699,0.002342,0.369892,0.001305,3.908833,0.201915,17.123871,0.0,9
