INDEX,pop_daytime_fishnet500,pop_nighttime_fishnet500,ACC_ACD,ACC_COM,ACC_ET,ACC_LS,DEN_FLOOR,DEN_BUILT,DEN_WALK,DEN_DRIVE,DEN_EVI,DEN_MNDWI,DIS_METRO,DIS_BUS,ACC_CBD,DEN_EXCHANGE,DEN_BUS
G500-319,4.888889,3.726667,0,1,0,0,0.0,0.0,0.001185,0.0,0.3319,0.012851,13.28822,0.729177,62.788595,0.0,0
G500-323,10.377778,8.266667,0,2,0,0,0.0,0.0,0.006654,0.004304,0.27959,0.106109,14.65348,0.23098,64.427202,0.0,2
G500-324,14.355556,16.2,0,0,2,11,0.0,0.0,0.004121,0.001927,0.220081,0.398733,14.927573,0.317449,64.709792,0.0,0
G500-325,5.266667,4.893333,0,1,0,0,0.0,0.0,0.013636,0.003417,0.137722,0.0,15.213165,0.730239,64.995,0.0,0
G500-326,1.983135,1.866667,0,0,0,0,0.0,0.0,0.00963,0.0,0.32928,0.0,15.50962,0.901625,65.282791,0.0,0
G500-333,5.8,6.666667,0,1,0,0,0.0,0.0,0.000993,0.0,0.034993,0.808313,12.060145,1.516969,58.932096,0.0,0
G500-334,3.933333,3.833333,0,1,0,1,0.0,0.0,0.003724,0.0,0.376219,0.113252,11.981446,1.904028,59.156442,0.0,0
G500-335,5.297222,4.758333,0,0,0,0,0.0,0.0,0.000573,0.004141,0.314959,0.0,11.923213,2.15752,59.384152,0.0,0
G500-337,3.162698,3.866667,0,0,0,0,0.0,0.0,0.0,0.0,0.77991,0.017001,11.869242,1.47362,59.849504,0.0,0
G500-339,16.933333,20.6,0,0,11,14,0.022743,0.007581,0.002544,0.0,0.617512,0.0,11.899361,0.797341,60.327843,0.0,0
G500-340,22.133333,17.6,0,0,11,9,0.01562,0.005204,0.0,0.005267,0.302614,0.048615,11.945826,0.655333,60.571788,0.0,0
G500-341,7.088889,7.066667,1,4,18,13,0.043492,0.014497,0.001039,0.003016,0.322431,0.033806,12.012939,0.846904,60.818865,0.0,0
G500-350,8.822222,7.343333,0,3,0,1,0.0,0.0,0.006125,0.0,0.220027,0.0,14.233977,0.355174,64.014435,0.0,0
G500-351,13.0,11.566667,3,3,0,2,0.0,0.0,0.013183,0.00907,0.402535,0.0,14.515992,0.269256,64.298839,0.0,0
G500-353,3.110119,3.4,0,0,0,1,0.0,0.0,0.011483,0.0,0.289682,0.0,15.113899,0.99103,64.875467,0.0,0
G500-355,5.511111,5.4,0,0,11,4,0.0,0.0,0.002331,0.002331,0.548971,0.0,12.153376,0.281757,57.406544,0.0,0
G500-356,3.174206,2.24,0,0,0,1,0.0,0.0,0.002574,0.002574,0.819338,0.0,12.062959,0.219118,57.615138,0.0,2
G500-360,10.622222,7.3,0,1,0,0,0.0,0.0,0.001534,0.0,0.335332,0.031254,11.568436,1.710579,58.48483,0.0,0
G500-361,5.255556,4.86,0,0,2,1,0.0,0.0,0.000549,0.00445,0.752693,0.000346,11.486368,2.015746,58.710886,0.0,0
G500-362,2.287202,2.7,0,0,0,0,0.0,0.0,8.4e-05,0.001352,0.619103,0.0,11.425612,1.807196,58.940317,0.0,0
G500-365,2.81994,3.106667,0,0,0,0,0.0,0.0,0.0,0.0,0.663762,0.003987,11.374026,0.766597,59.648465,0.0,0
G500-366,18.377778,20.933333,0,0,1,0,0.0,0.0,0.000656,0.00545,0.599786,0.0,11.40072,0.430363,59.891002,0.0,0
G500-367,106.822222,129.166667,9,19,105,128,0.482858,0.153348,0.002653,0.002403,0.2709,0.007296,11.449208,0.158803,60.136719,0.0,5
G500-368,4.621032,5.16,1,6,8,12,0.044878,0.014959,0.0,0.000639,0.306282,0.065547,11.519215,0.487093,60.385576,0.0,0
G500-377,4.346825,3.85,0,1,0,0,0.0,0.0,0.002723,0.0,0.357934,0.0,13.541778,0.912364,63.319338,0.0,0
G500-378,13.2,8.866667,2,3,0,3,0.0,0.0,0.007134,0.0,0.138349,0.0,13.81983,0.429394,63.602919,0.0,0
G500-379,13.377778,10.233333,2,11,0,1,0.0,0.0,0.010809,0.004272,0.249652,0.0,14.110126,0.094163,63.889155,0.0,6
G500-385,2.040179,1.976667,0,0,0,0,0.0,0.0,0.000982,0.000982,0.720994,0.029727,11.569744,0.576556,57.161942,0.0,0
G500-387,2.056052,2.32,0,0,0,0,0.0,0.0,0.002693,0.0,0.258874,0.350202,11.313462,0.969139,57.59317,0.0,0
G500-388,4.446429,3.35,0,2,0,0,0.0,0.0,0.000179,0.0,0.313766,0.0,11.184917,1.037489,57.814064,0.0,0
G500-389,11.377778,8.113333,0,0,0,1,0.0,0.0,0.0,0.005106,0.440124,0.0,11.077469,1.30902,58.038425,0.0,0
G500-390,4.888889,6.333333,0,0,1,2,0.0,0.0,0.0,0.001033,0.667546,0.014316,10.991736,1.688398,58.266213,0.0,0
G500-393,4.836111,4.7,0,0,0,0,0.0,0.0,0.0,0.0,0.451415,0.07079,10.86932,0.755483,58.969738,0.0,0
G500-394,2.675,1.9375,0,0,0,0,0.0,0.0,0.000281,0.005684,0.68677,0.0,10.874285,0.436843,59.210834,0.0,0
G500-395,14.755556,11.633333,1,3,7,2,0.020758,0.006919,0.000351,0.002947,0.57471,0.0,10.902202,0.061528,59.455156,0.0,2
G500-396,8.622222,10.233333,2,5,12,13,0.064089,0.021363,0.001064,0.000558,0.492324,0.003032,10.952898,0.230187,59.702667,0.0,9
G500-397,9.511111,10.9,1,1,1,0,0.004001,0.001334,0.001616,0.0,0.499658,0.008312,11.026056,0.157807,59.953325,0.0,1
G500-405,28.111111,27.533333,1,8,1,8,0.0,0.0,0.00799,0.005469,0.195598,0.0,13.411536,0.247033,63.19268,0.0,2
G500-406,7.261111,8.8,1,6,0,2,0.0,0.0,0.00628,0.002745,0.167559,0.0,13.71048,0.239745,63.480766,0.0,4
G500-408,3.462302,4.113333,0,0,0,0,0.0,0.0,0.006444,0.0,0.0,0.096512,14.342007,1.156797,64.064758,0.0,0
G500-413,7.333333,7.6,0,2,0,0,0.0,0.0,0.005923,0.00095,0.196955,0.303741,10.989453,0.76781,56.925072,0.0,0
G500-414,12.8,11.766667,0,0,0,0,0.0,0.0,0.00164,0.00206,0.635987,0.0,10.834022,0.476114,57.144174,0.0,0
G500-415,12.244444,14.833333,1,1,3,2,0.0,0.0,0.0,0.005334,0.491261,0.0,10.699719,0.603188,57.366798,0.0,0
G500-416,8.022222,11.333333,0,2,0,1,0.0,0.0,0.0,0.000278,0.222752,0.0,10.587348,1.000494,57.592901,0.0,0
G500-419,3.190476,2.7,0,0,0,0,0.0,0.0,0.001352,0.001352,0.854214,0.0,10.388252,0.759379,58.291686,0.0,0
G500-420,9.955556,10.5,0,1,1,0,0.0,0.0,0.00135,0.006713,0.664014,0.003032,10.369365,0.426404,58.531303,0.0,0
