y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
150.6,4,7,50,52,3.410084,0.362294,0.013383,0.005811,0.242718,0.021425,0.319366,0.160535,7.305881,0,8,Y,K
71.822222,0,7,8,3,1.683936,0.300811,0.003779,0.01059,0.299106,0.017655,0.724908,0.079554,7.270592,0,28,N,K
7.252778,0,0,0,0,0.222766,0.04906,0.003999,0.003999,0.896991,0,2.964149,0.257191,7.766949,0,1,Y,K
78.2,4,6,21,26,0.974322,0.120769,0.004113,0.007769,0.71565,0.001126,2.521605,0.075914,7.95728,0,26,Y,K
74.6,1,9,23,2,1.316418,0.321851,0.011637,0.003395,0.162067,0.001517,0.491259,0.46884,15.331229,0,0,N,K
14.377778,0,23,32,2,0.461373,0.096065,0.006889,0.000298,0.04339,0.005178,0.450087,0.415069,14.884199,0,0,Y,J
10.122222,0,16,44,1,0.676614,0.130182,0.010947,0.000024,0.453374,0.006067,0.814753,0.269272,14.440643,0,2,N,K
146.555556,1,34,159,16,1.028194,0.247888,0.012303,0.006271,0.109064,0.007237,0.56935,0.508649,13.565315,0,0,N,H
103,16,24,77,62,2.257957,0.364108,0.009226,0.002345,0.046024,0,0.428969,0.243315,13.134328,0,2,N,J
178.822222,7,20,63,68,2.068638,0.365559,0.004367,0.005079,0.285861,0.022633,0.531676,0.125344,11.873878,0,12,Y,K
47.844444,0,19,14,9,1.855889,0.21984,0.003473,0,0.221179,0,1.449234,0.389842,10.293696,0,0,N,H
54.355556,1,1,2,1,1.756469,0.158519,0.006296,0.005691,0.423077,0.274384,1.159239,0.538295,8.271455,0,0,N,J
164.688889,6,43,70,53,2.669766,0.342455,0.008146,0.004398,0.058988,0.119236,0.847043,0.438114,7.994359,0,0,Y,J
68.844444,7,27,24,14,2.61088,0.330496,0.01725,0.004016,0.073147,0,0.768848,0.438605,7.739675,0,0,N,K
131.066667,5,46,46,27,2.476393,0.322038,0.012126,0.006119,0.203153,0,0.684028,0.116989,7.509685,0,6,N,H
178.177778,1,14,102,0,1.082854,0.178134,0.004484,0.020345,0.43129,0.024049,0.515637,0.257277,7.13309,0,4,N,H
148.422222,4,6,59,45,3.809253,0.368826,0.010553,0.004948,0.21473,0,1.013777,0.079771,6.882337,0,2,Y,K
164.133333,3,17,111,114,2.919955,0.340588,0.006962,0.009038,0.234975,0,0.699637,0.233026,6.808771,0,39,Y,J
177.688889,11,17,72,89,6.789948,0.241431,0.004077,0.009102,0.347359,0,0.671744,0.116885,6.771423,0,42,N,K
8.511111,0,0,0,1,0.066979,0.016339,0,0,0.993012,0,2.786555,0.458428,7.301299,0,0,Y,J
3.4,0,2,7,5,0.024842,0.003994,0.007909,0.002998,0.584044,0.326395,1.407775,0.310181,7.986699,0,0,N,J
66.6,4,31,12,11,1.991624,0.314476,0.009665,0.004009,0.251783,0,0.795397,0.154263,15.573607,0,12,Y,H
6.191667,1,44,75,20,0.35237,0.115863,0.015976,0.003135,0.109512,0.006457,0.894226,0.232298,13.766206,0,12,Y,K
64.333333,0,25,66,25,0.088916,0.024023,0.013265,0.009104,0.086983,0.001517,0.399369,0.369241,13.322959,0,0,Y,K
11.177778,2,4,3,1,0.524215,0.068479,0.002656,0,0.26651,0.019717,0.857647,0.311987,12.019968,0,0,N,H
38.466667,0,4,12,11,1.569501,0.294348,0.004448,0,0.279551,0,0.365932,0.222627,11.596225,0,1,N,J
358.4,14,13,20,53,2.555708,0.172166,0.011234,0.013123,0.23281,0,0.179594,0.084637,11.178785,2,50,N,H
226.308333,5,21,101,174,13.184622,0.185122,0.009452,0.002792,0.250647,0,0.656203,0.159709,10.768381,0,42,Y,K
83.888889,5,4,7,7,2.442184,0.061133,0.007648,0.00589,0.363887,0,0.764631,0.258223,10.365849,0,1,N,K
80.711111,11,8,38,48,4.465929,0.370414,0.010699,0.008673,0.171314,0,1.49299,0.171501,9.588349,0,23,Y,K
34.022222,5,5,26,22,3.685173,0.32728,0.0029,0,0.288402,0.013487,1.769531,0.393834,9.215706,0,0,N,J
33.577778,7,35,39,37,3.27337,0.298479,0.014093,0.002403,0.306248,0.001057,1.037977,0.161721,8.179709,0,4,Y,H
152.8,9,12,81,100,5.435604,0.434231,0.012438,0.000267,0.224855,0,0.91378,0.314566,7.867683,0,3,Y,H
204.555556,26,97,227,285,5.626149,0.38862,0.012675,0,0.102667,0,0.456772,0.074882,7.575832,0,3,Y,H
255.466667,17,62,76,78,5.699632,0.245239,0.005318,0.011399,0.251673,0,0.20065,0.126857,6.846286,2,60,Y,J
152.644444,6,24,204,67,6.210417,0.436107,0.002611,0.006975,0.223821,0,1.383922,0.211727,6.391403,0,58,Y,J
296.511111,20,60,143,151,6.075589,0.394947,0.007814,0.003551,0.215776,0,1.173451,0.16891,6.312118,0,4,Y,K
139.688889,9,49,96,86,5.347809,0.346323,0.006149,0.004305,0.279706,0,1.157038,0.375996,6.271812,0,0,Y,J
